103.01|61-422-0|Fruit of the Loom|Iconic 195 Ringspun Premium T|195 g/m²|100% coton, peigné et ringspun (jersey simple) ; Heather Grey : 97% coton, 3% polyester|2.77
104.01|61-424-0|Fruit of the Loom|Ladies' Iconic 195 Ringspun Premium T|195 g/m² (Blanc: 190 g/m²)|100% coton, peigné et baguette ; Heather Grey : 97% coton, 3% polyester|2.77
180.00|0R180M0|Russell Athletic|Authentic Classic T|180 g/m² (White: 175 g/m²)|100% coton peigné, ringspun ; Light Oxford : 93% coton, 7% polyester|2.78
101.00|0R180F0|Russell Athletic|Ladies' Authentic Classic T|180 g/m²|100% coton ; Light Oxford : 93% coton, 7% viscose|2.78
164.01|61-066-0|Fruit of the Loom|Valueweight V-neck T-Shirt|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|2.82
129.01|61-398-0|Fruit of the Loom|Ladies Valueweight V-Neck T|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|2.83
145.01|61-442-0|Fruit of the Loom|Iconic 150 V Neck T|150 g/m² (Blanc: 140 g/m²)|100% coton peigné ring-spun ; Heather Grey : 97% Coton, 3% Polyester|2.86
146.01|61-444-0|Fruit of the Loom|Ladies' Iconic 150 V Neck T|150 g/m² (Blanc: 140 g/m²)|100% coton peigné ring-spun ; doux au toucher|2.86
170.52|SGTee|SG Signature|Signature Tagless Tee Men|160 g/m²|100% coton, ring-spun (jersey simple) ; Ash 99/1 viscose, Light Oxford 93/7 viscose|2.86
171.52|SGTee F|SG Signature|Signature Tagless Tee Women|160 g/m²|100% coton, ring-spun (jersey simple) ; Ash 99/1 viscose, Light Oxford 93/7 viscose|2.86
120.09|65000|Gildan|Softstyle Midweight Adult T-Shirt|183 g/m² (White: 180 g/m²)|100% coton, ringspun ; Graphite Heather et Sport Grey en variantes mélangées|3.05
122.09|65000L|Gildan|Softstyle Midweight Women's T-Shirt|183 g/m² (White: 180 g/m²)|100% coton, ringspun ; Sport Grey : 90% coton, 10% polyester|3.05
020.42|TW04T|B&C|#E190 /women T-Shirt|185 g/m²|100% coton pré-rétréci et ringspun ; Ash : 99% coton, 1% viscose|3.05
019.42|TU03T|B&C|#E190 T-Shirt|185 g/m²|100% coton pré-rétréci et ring-spun (jersey simple) ; Ash : 99% coton, 1% viscose|3.05
102.01|61-044-0|Fruit of the Loom|Super Premium T-Shirt|205 g/m² (White: 190 g/m²)|100% coton ; Ash 99/1 polyester, Heather Grey 97/3 polyester|3.06
037.42|TK003|B&C|#E150 LSL T-Shirt /kids|145 g/m²|100% coton, pré-rétréci, ringspun ; non genré, de l'enfant à l'ado|3.19
149.42|TU006|B&C|Exact V-neck T-Shirt|145 g/m²|100% coton, prérétréci et ringspun ; Sport Grey : 85% coton, 15% viscose|3.22
127.01|061362|Fruit of the Loom|Pure Cotton T|175 g/m²|100% coton (fil biologique), peigné et ringspun ; coupe classique|3.24
102.09|2000|Gildan|Ultra Cotton Adult T-Shirt|203 g/m² (White: 193 g/m²)|100% coton ; nombreuses variantes chinées|3.24
109.09|64V00L|Gildan|Ladies Softstyle V-Neck T-Shirt|144-153 g/m²|100% Coton jersey prérétréci ; Sport Grey 90/10, Heather 35/65|3.28
175.09|64200|Gildan|Softstyle Adult Tank|153 g/m² (White: 144 g/m²)|100% coton (jersey simple), ringspun, pré rétréci ; Sport Grey 90/10|3.28
108.09|64V00|Gildan|Softstyle Adult V-Neck T-Shirt|144-153 g/m²|100% Coton jersey prérétréci ; tissu dense, surface d'impression lisse|3.28
106.09|64200L|Gildan|Softstyle Women's Tank|144-153 g/m²|100% Coton ; Sport Grey : 90% coton, 10% polyester|3.28
110.01|61-428-0|Fruit of the Loom|Original Long Sleeve T|145 g/m² (Blanc: 135 g/m²)|100% Coton ; Gris chiné : 97% coton, 3% polyester|3.37
110.33|S287X|Spiro|Aircool Tee|130 g/m²|100% polyester (maille nid d'abeille) ; sèche rapidement et respirant|3.39
039.42|TU008|B&C|#E150 V T-Shirt|145 g/m²|100% coton, pré-rétréci, ringspun ; coupe classique et moderne|3.42
040.42|TW001|B&C|#E150 V T-Shirt /women|145 g/m²|100% coton, pré-rétréci, ringspun ; coupe classique et moderne|3.42
001.42|TU01B|B&C|#inspire E150|145 g/m²|100% coton (peigné, ringspun, certifié biologique ou en conversion) ; Heather Grey 90/10 viscose|3.48
002.42|TW02B|B&C|#inspire E150 /women|145 g/m²|100% coton (peigné, ringspun, certifié biologique ou en conversion) ; Heather Grey 90/10 viscose|3.49
013.42|TM062|B&C|Sublimation/men T-Shirt|140 g/m²|100% Polyester ; extrêmement durable, flexible, résistant au froissement|3.50
014.42|TW063|B&C|Sublimation/women T-Shirt|140 g/m²|100% Polyester ; extrêmement durable, flexible, résistant au froissement|3.50
147.42|TM200|B&C|Athletic Move Shirt|145 g/m²|100% coton, prérétréci et ringspun ; jersey simple|3.56
123.09|64000CVC|Gildan|Softstyle CVC Adult T-Shirt|156 g/m² (White: 153 g/m²)|60% coton ringspun, 40% polyester ; haute densité de points, surface lisse|3.59
124.09|64001LCVC|Gildan|Softstyle CVC Women's T-Shirt|156 g/m² (White: 153 g/m²)|60% coton ringspun, 40% polyester ; haute densité de points, surface lisse|3.59
